,customer_id
1230,0f5e28ac-6e36-11ea-a8bb-000d3a38a36f
1237,0f684644-2853-11ea-b87a-000d3a38a36f
1252,0fa34bd2-a38c-11e9-a2fc-000d3a38a36f
1262,0fc6e4a4-9f98-11e9-a2fc-000d3a38a36f
1265,0fd0bccc-1199-11ea-846f-000d3a38a36f
1270,0fdb0040-a97c-11e9-a2fc-000d3a38a36f
1272,0fdf4ad8-9e46-11e9-9897-000d3a38a36f
1275,0fe4cc5a-7989-11ea-bf74-000d3a38a36f
1289,10199be8-7c9e-11ea-80af-000d3a38a36f
1295,102ed1aa-d817-11ea-aee7-000d3a38a36f
1302,1044d50a-abc6-11e9-a2fc-000d3a38a36f
1305,104b2874-da1f-11e9-93bc-000d3a38a36f
1319,1076e198-af9b-11e9-a2fc-000d3a38a36f
1345,10e1f13e-9f67-11e9-a2fc-000d3a38a36f
1348,10eafdec-1a9b-11ea-98d5-000d3a38a36f
1359,111a559c-b0d8-11e9-9757-000d3a38a36f
1363,112246aa-3182-11ea-b884-000d3a38a36f
1376,1148a72e-f102-11ea-bde9-000d3a38a36f
1404,1192e466-9f2c-11e9-9897-000d3a38a36f
1433,11f51fac-15ea-11ea-aa74-000d3a38a36f
1438,120c4322-adbb-11e9-a2fc-000d3a38a36f
1445,121ab022-d6ad-11e9-93bc-000d3a38a36f
1450,122c8e2c-1290-11ea-a001-000d3a38a36f
1466,125e788a-b1a9-11e9-89fa-000d3a38a36f
1479,127ce39e-5bed-11ea-aed3-000d3a38a36f
1493,129d25a6-b11f-11e9-9757-000d3a38a36f
1523,1300206e-acee-11e9-a2fc-000d3a38a36f
1540,13301c22-ddfb-11e9-957d-000d3a38a36f
1552,1349440e-9f4e-11e9-9897-000d3a38a36f
1557,135ba0d0-5bf6-11ea-b87f-000d3a38a36f
1566,137cc030-ac29-11e9-a2fc-000d3a38a36f
1585,13a9382a-33cf-11eb-9a15-000d3a38a36f
1591,13c43d92-b152-11e9-9757-000d3a38a36f
1598,13ec4a62-9d20-11e9-9897-000d3a38a36f
1601,13f7475a-ab71-11e9-a2fc-000d3a38a36f
1615,14183c10-afba-11e9-9757-000d3a38a36f
1652,147fa5d0-9e94-11e9-9897-000d3a38a36f
1683,1501c238-acf2-11e9-a2fc-000d3a38a36f
1690,15211302-51c7-11ea-a243-000d3a38a36f
1704,154b4894-1480-11eb-8ffc-000d3a38a36f
1718,1582a552-af76-11e9-a2fc-000d3a38a36f
1721,15876b38-9df5-11e9-9897-000d3a38a36f
1734,15afdfe6-3940-11ea-85d6-000d3a38a36f
1765,15fbbb50-25fe-11ea-8e1c-000d3a38a36f
1779,162ccec8-ae6d-11ea-b736-000d3a38a36f
1794,1660b47e-d621-11e9-93bc-000d3a38a36f
1814,16bd096a-b009-11e9-9757-000d3a38a36f
1852,17477990-1b68-11ea-9812-000d3a38a36f
1858,1754bde6-9d3a-11e9-9897-000d3a38a36f
1865,1768ceb8-ab58-11e9-a2fc-000d3a38a36f
1887,178eb626-cc15-11ea-b305-000d3a38a36f
1928,18263748-adb8-11e9-a2fc-000d3a38a36f
1959,1889a238-afcf-11e9-9757-000d3a38a36f
1972,18c2a054-a9e1-11e9-a2fc-000d3a38a36f
1981,18d5c388-ac06-11e9-a2fc-000d3a38a36f
2005,19286990-2054-11ea-87bf-000d3a38a36f
2015,19527882-9dfc-11e9-9897-000d3a38a36f
2038,19a95b7a-49d6-11eb-806e-000d3a38a36f
2039,19a9c11e-5bf2-11ea-8fe9-000d3a38a36f
2049,19ccfd06-1b05-11ea-98d5-000d3a38a36f
2055,19da8578-1a49-11ea-941b-000d3a38a36f
2070,1a224e76-5b12-11ea-ae42-000d3a38a36f
